date,value,unit,change_1d_pct,change_1m_pct,change_1y_pct,collected_at_utc,source_date_label
2026-09-11,8953.0,CNY/T,0.0,7.67,30.66,2026-09-11T01:29:52Z,"September 11, 2026"
2026-09-14,8936.0,CNY/T,-1.13,4.62,29.85,2026-09-14T08:47:36Z,"September 14, 2026"
2026-09-15,8948.0,CNY/T,0.0,4.77,29.27,2026-09-15T01:49:31Z,"September 15, 2026"
2026-09-16,8903.0,CNY/T,0.0,4.24,28.73,2026-09-16T09:08:44Z,"September 16, 2026"
2026-09-17,8966.0,CNY/T,0.71,3.63,30.21,2026-09-17T09:09:51Z,"September 17, 2026"
2026-09-18,8793.0,CNY/T,-0.92,1.3,28.44,2026-09-18T09:08:28Z,"September 18, 2026"
2026-09-21,8717.0,CNY/T,-1.78,7.63,27.8,2026-09-21T09:08:06Z,"September 21, 2026"
